2020-11-09 21:13:57.287600; -0.00065160,0.00417858,-0.00670476,0.05187440,-0.02070026,0.33030909,0.00354874,0.00305396,0.00556791,0.59899074,0.56760228,0.61946315,-0.00484237,-0.01309300,-0.00496180,0.05316207,-0.01956220,0.33799046,0.00344771,0.00282133,0.00487429,0.58985496,0.55818987,0.60816067,0.01681764,-0.00118886,-0.00561971,0.24500510,0.11757890,0.02738648,0.00391334,0.00304395,0.00520599,0.22546577,0.22481221,0.21186876,0.00548290,-0.01314631,0.00025327,0.00948083,0.09067363,0.12208199,0.00321203,0.00283760,0.00466043,0.99242592,1.08513629,1.31626582,-0.00102672,0.00807025,0.00208691,0.15242669,-0.00096609,-0.00020680,0.00316036,0.00320309,0.00484228,0.12624085,0.14049858,0.16048658; -16
2020-11-09 21:13:57.792405; 0.00550407,-0.01348082,-0.00028962,0.05293894,-0.02080954,0.31861287,0.00317091,0.00280023,0.00460446,0.59315944,0.56232297,0.61426109,-0.00058595,0.00407554,-0.00635536,-0.04395446,-0.04112152,0.01607408,0.00340766,0.00292468,0.00536084,0.24876416,0.21634269,0.21420157,0.00442883,-0.00492299,0.00085102,-0.07624362,0.02098015,0.00977275,0.00562370,0.00327140,0.00491810,0.12933737,0.13096815,0.14062965,0.00548422,-0.01315173,0.00025762,-0.07612374,0.02112305,0.00977004,0.00321400,0.00283939,0.00466311,0.12830240,0.13010234,0.13950545,0.01747712,-0.00106594,-0.00427347,-0.07612006,0.02111268,0.00979412,0.01062745,0.00371164,0.00561476,0.12832886,0.13013989,0.13953388; -17
2020-11-09 21:13:58.291514; -0.00065866,0.00411461,-0.00688222,0.15318787,0.00055835,-0.00026987,0.00335670,0.00288677,0.00529075,0.12325966,0.13768637,0.15672970,-0.00059222,0.00424485,-0.00677033,-0.04482779,-0.04144674,0.01339162,0.00344038,0.00295955,0.00541234,0.24733722,0.21487427,0.21126974,-0.00102720,0.00808319,0.00271191,-0.04551118,-0.04184442,0.01350581,0.00308508,0.00312746,0.00473589,0.24596447,0.21336490,0.20947748,0.00489057,-0.01268011,0.00116002,-0.04944050,-0.04691781,0.01711089,0.00321525,0.00283742,0.00466365,0.24846375,0.21513391,0.21227431,-0.00637185,-0.01185042,-0.00034823,0.14504117,-0.00265040,-0.00200264,0.00342768,0.00278896,0.00482833,0.12760538,0.14085066,0.16462076; -16
2020-11-09 21:13:58.803546; 0.01676626,-0.00136269,-0.00552845,0.15305695,0.00064777,-0.00032667,0.00388741,0.00302410,0.00517380,0.12355202,0.13803989,0.15706283,0.01789696,-0.00127992,-0.00395152,0.15304394,0.00062421,-0.00036940,0.01056379,0.00368607,0.00557846,0.12359440,0.13806081,0.15712166,0.01659818,-0.00118565,-0.00562645,-0.07617395,0.02054041,0.00992972,0.00408036,0.00317734,0.00541717,0.13122761,0.13288218,0.14261842,0.00405464,-0.00482652,0.00050275,0.05241937,-0.01939322,0.33490735,0.00560564,0.00326514,0.00490952,0.59029931,0.55837119,0.60755253,0.00540070,-0.01307986,-0.00002849,0.24479437,0.11812932,0.02710928,0.00319076,0.00281864,0.00463110,0.22459030,0.22392726,0.21082646; -18
2020-11-09 21:13:59.289598; 0.00438847,-0.00490427,0.00080068,0.24504837,0.11757610,0.02740987,0.00556237,0.00323510,0.00486714,0.22544682,0.22483063,0.21190685,-0.00490710,-0.01314397,-0.00483887,0.05284775,-0.02037628,0.33478987,0.00347668,0.00284529,0.00491309,0.59174609,0.56019670,0.61078602,-0.00490050,-0.01314868,-0.00483916,0.15265961,0.00071350,-0.00066571,0.00347883,0.00284708,0.00491595,0.12396115,0.13848996,0.15744656,0.00548316,-0.01314931,0.00025440,-0.07612063,0.02112648,0.00980366,0.00321418,0.00283957,0.00466311,0.12828577,0.13009304,0.13948900,0.01680870,-0.00118792,-0.00562473,0.24494988,0.11758975,0.02736192,0.00391459,0.00304484,0.00520760,0.22545630,0.22477591,0.21181673; -19
2020-11-09 21:13:59.796860; 0.01790765,-0.00125600,-0.00408502,0.05221618,-0.02080081,0.32225496,0.01074743,0.00375992,0.00568432,0.59370661,0.56225342,0.61299777,-0.00076258,0.00427326,-0.00698319,0.15297717,0.00125412,-0.00047624,0.00337905,0.00290912,0.00532490,0.12293816,0.13766384,0.15608400,0.01656216,-0.00112466,-0.00587977,0.24343684,0.11780218,0.02662747,0.00399417,0.00310779,0.00530934,0.22679651,0.22603762,0.21288908,-0.00502264,-0.01303618,-0.00457342,0.24633989,0.11684833,0.02667594,0.00365084,0.00298959,0.00513983,0.23033971,0.23034650,0.21775889,-0.00063620,0.00434754,-0.00667531,0.24469957,0.11738081,0.02710737,0.00348240,0.00299424,0.00547153,0.22825044,0.22838312,0.21568608; -18
2020-11-09 21:14:00.331794; 0.00773628,-0.00600364,0.00086809,-0.04455464,-0.04160693,0.01279376,0.00401795,0.00272834,0.00435805,0.24453682,0.21254969,0.20846146,0.02683056,-0.00172728,-0.00412152,-0.07673733,0.01497735,0.00749043,0.01250303,0.00446355,0.00666797,0.14640981,0.14546442,0.15901583,0.01735027,-0.00017897,-0.00287346,0.24466440,0.12065674,0.02777493,0.01124740,0.00397021,0.00598294,0.22991180,0.22699624,0.21370822,0.01089154,-0.00404695,0.00315112,-0.04026517,-0.04171519,0.03434258,0.00469011,0.00309581,0.00493419,0.28246415,0.24881297,0.26231468,-0.00107896,0.00791148,0.00269424,-0.07603252,0.02142223,0.00918079,0.00304592,0.00308722,0.00467795,0.12759966,0.12940550,0.13870418; -17
2020-11-09 21:14:00.792813; 0.00426984,-0.00498576,0.00087139,0.05247257,-0.02072827,0.32398480,0.00553715,0.00321847,0.00484407,0.59124058,0.55973804,0.61029392,0.01681129,-0.00119110,-0.00547865,-0.07622756,0.02097502,0.00975538,0.00395429,0.00307703,0.00525767,0.12930697,0.13096404,0.14059049,0.01681571,-0.00118911,-0.00562933,-0.04551463,-0.04187323,0.01346820,0.00391406,0.00304449,0.00520688,0.24587452,0.21329176,0.20937592,0.01682369,-0.00136314,-0.00559497,-0.04461879,-0.04171013,0.01276293,0.00386775,0.00300837,0.00514895,0.24444956,0.21243614,0.20827889,0.00782371,-0.00597011,0.00087891,0.05244011,-0.02073501,0.32290584,0.00403762,0.00274283,0.00437987,0.59083110,0.55925202,0.60961282; -16
2020-11-09 21:14:01.285951; -0.00065586,0.00414169,-0.00681529,0.05248747,-0.02079083,0.32463402,0.00337923,0.00290626,0.00532347,0.59144747,0.56001914,0.61073041,-0.00493106,-0.01310334,-0.00481025,0.05246690,-0.02087445,0.33325917,0.00351423,0.00287586,0.00496119,0.59480113,0.56346363,0.61501050,0.00437891,-0.00489661,0.00078827,-0.04552288,-0.04188230,0.01342736,0.00556916,0.00323975,0.00487375,0.24588114,0.21329892,0.20935428,0.01681304,-0.00119095,-0.00562739,-0.07614160,0.02112771,0.00980771,0.00391155,0.00304252,0.00520366,0.12831545,0.13010430,0.13952476,-0.00491492,-0.01315694,-0.00484066,-0.04551315,-0.04190510,0.01345150,0.00347525,0.00284404,0.00491112,0.24581230,0.21324456,0.20931387; -16
2020-11-09 21:14:01.787255; 0.01748542,-0.00107211,-0.00427880,-0.30463102,-0.16743305,0.07558888,0.01062244,0.00370950,0.00561172,0.30835855,0.36173522,0.26015031,-0.00081039,0.00397740,-0.00598737,-0.07627198,0.01985177,0.00938655,0.00366461,0.00315070,0.00573045,0.13411510,0.13532531,0.14571905,-0.00468079,-0.01276203,-0.00502158,0.05248440,-0.01910419,0.33413315,0.00351995,0.00288266,0.00497210,0.59207726,0.56020403,0.61011475,0.02022514,-0.00089276,-0.01583482,0.06189365,-0.03639961,0.27837980,0.00381660,0.00294685,0.00505990,0.64974117,0.62786776,0.71605593,0.01727478,0.00793737,-0.00064960,-0.08473150,0.02071881,0.01376567,0.00607717,0.00587207,0.00848812,0.21934479,0.20041001,0.23868084; -15
