2020-11-09 21:22:44.475335; 0.00278997,0.00981464,-0.00409585,0.06523880,-0.02948798,0.53678328,0.00320470,0.00326800,0.00493562,0.65320408,0.62558591,0.71660328,0.01686163,0.00177015,-0.00862918,0.06763354,-0.01538683,0.74413747,0.00328177,0.00252986,0.00440007,0.60350132,0.56916547,0.64883924,-0.00174641,0.00909527,0.00116954,0.14719234,0.01213205,-0.00499149,0.00439739,0.00449234,0.00666225,0.14712381,0.16269743,0.18472177,0.01245939,0.00205033,-0.00665566,0.24275973,0.13250177,0.02482807,0.00682014,0.00390816,0.00579286,0.25530875,0.26630938,0.25597966,0.01215110,0.00128618,-0.00597798,-0.08351948,0.02358511,0.01766244,0.00388455,0.00301462,0.00518775,0.12979782,0.13033444,0.14090091; -7
2020-11-09 21:22:44.978302; 0.00079741,-0.00985427,-0.00444481,0.13301946,-0.00764218,-0.00168245,0.00414437,0.00334024,0.00563049,0.14379752,0.15573764,0.18427831,-0.00108508,0.00500114,-0.00072461,-0.08714560,0.01700325,0.01997844,0.00551480,0.00472963,0.00828356,0.17095649,0.16671199,0.18442959,0.01253193,0.00308201,-0.00404819,0.06204054,-0.02633740,0.53469902,0.00624990,0.00358987,0.00535548,0.65745324,0.63120049,0.71664119,0.01200266,-0.00336971,0.00177373,-0.06295024,-0.05810976,0.01280005,0.00436968,0.00299835,0.00476325,0.25700319,0.21676397,0.21621323,-0.00179345,0.00911840,0.00171450,0.05295390,-0.02041570,0.40725660,0.00373721,0.00383234,0.00572008,0.63559145,0.60465968,0.66829491; -6
2020-11-09 21:22:45.469313; 0.00636562,0.00082997,0.00050939,-0.30459493,-0.16655746,0.07973033,0.00700897,0.00418085,0.00618875,0.33227867,0.37908375,0.28444129,-0.00030811,0.01078277,-0.00415598,-0.08672966,0.02478553,0.02538664,0.00279629,0.00286818,0.00436538,0.13135511,0.12830436,0.14321065,-0.00277361,-0.00924376,-0.00172280,0.05230633,-0.01739959,0.47051752,0.00418997,0.00343734,0.00584239,0.63986671,0.60971671,0.67657900,0.00298029,-0.00827681,-0.00069494,-0.31749997,-0.20403263,0.08766761,0.00527805,0.00469172,0.00748551,0.38409555,0.44556248,0.33317649,0.00281540,0.00134127,0.00025733,-0.08546709,0.01944938,0.01710380,0.00673449,0.00397092,0.00588977,0.14223897,0.14253920,0.15357292; -5
2020-11-09 21:22:45.970358; 0.03050543,0.00330916,-0.00388027,-0.08644737,0.02000323,0.02076731,0.01308578,0.00466955,0.00702292,0.14898151,0.14730978,0.16130573,0.01459818,0.00210041,-0.00838362,-0.09632446,0.02466403,0.04074005,0.00462735,0.00256920,0.00391603,0.13302845,0.12594885,0.14853233,0.00067947,0.01105962,-0.00517117,-0.05841970,-0.05079746,0.02809189,0.00312155,0.00319719,0.00483173,0.26530820,0.22373539,0.23418456,0.00568994,0.01049566,-0.00864718,0.13599692,-0.01550881,0.00930353,0.00248981,0.00253701,0.00388241,0.12325680,0.13383400,0.16065556,0.00025615,0.00955141,-0.01890701,0.07766274,-0.01147051,0.70597982,0.00209087,0.00177079,0.00337976,0.55868876,0.52704656,0.59744149; -6
2020-11-09 21:22:46.469053; 0.01999409,-0.00059290,-0.01101408,-0.09486832,0.02502785,0.04142902,0.00341213,0.00261497,0.00454044,0.13794512,0.13119006,0.15323120,-0.00288583,-0.00898236,-0.00441123,0.06204898,-0.00950919,0.62557662,0.00342983,0.00280344,0.00483155,0.60166866,0.56675828,0.62876487,-0.00135677,0.00969332,-0.00105128,-0.31326184,-0.16282967,0.09447920,0.00320399,0.00329000,0.00497711,0.30336821,0.34826124,0.25960529,0.02645137,0.00838392,-0.01355899,-0.07913233,-0.05586861,0.05634186,0.00994045,0.00337940,0.00519937,0.25359249,0.20689434,0.21719009,-0.00195791,-0.00979869,-0.00257162,0.15115234,0.01058735,-0.00415709,0.00345987,0.00284940,0.00492972,0.12152141,0.13708681,0.15279061; -6
2020-11-09 21:22:46.975246; 0.01149401,0.00238903,-0.00582761,0.00317724,0.09189888,0.34695405,0.00412112,0.00320309,0.00549406,1.02024615,1.11231089,1.34917235,-0.00164366,0.01004303,0.00053462,-0.06084324,-0.05689520,0.01870566,0.00336152,0.00345182,0.00518972,0.26549846,0.22466022,0.22929150,0.02535162,0.00690067,-0.01438621,-0.37409070,-0.21084636,0.19508967,0.00765181,0.00249749,0.00389171,0.27630383,0.32317150,0.23919117,0.01141068,0.00213385,-0.00417535,0.05382797,-0.01319201,0.43004191,0.00403494,0.00313979,0.00539178,0.59925663,0.56453168,0.61866993,0.01928139,-0.00126909,-0.01283489,-0.37689066,-0.24975643,0.18334302,0.00349796,0.00268579,0.00465399,0.33297980,0.39766198,0.29038078; -6
2020-11-09 21:22:47.466881; -0.00060015,0.00721381,-0.01270151,0.06404027,-0.01626096,0.56337053,0.00354105,0.00302374,0.00550228,0.62720972,0.59702575,0.66823411,0.02649515,0.00303609,-0.00366796,0.15045834,0.01215451,-0.00457601,0.01151776,0.00403887,0.00614172,0.12861174,0.14358258,0.16180497,0.00431153,0.00949419,-0.00796975,0.00901262,0.10021403,0.43399936,0.00293165,0.00299048,0.00452614,1.07378769,1.16371059,1.43537021,-0.00054898,-0.01009658,-0.00597912,-0.06169320,-0.06151677,0.00492951,0.00327641,0.00269526,0.00468224,0.23550761,0.19893515,0.19262606,0.00151591,-0.00840006,-0.00028786,-0.08190160,0.02272296,0.01600287,0.00349098,0.00308579,0.00504559,0.13113105,0.13327968,0.14189422; -6
2020-11-09 21:22:47.970560; 0.01291003,-0.00237742,0.00317906,0.06079647,-0.02397300,0.50299340,0.00421876,0.00285923,0.00456387,0.62339348,0.59347290,0.66131973,0.00194829,0.00751069,-0.01085763,-0.37182561,-0.23040882,0.20199245,0.00340569,0.00287801,0.00525516,0.32960737,0.38747907,0.28920776,0.00188041,-0.00872594,-0.00399256,0.06258640,-0.02257998,0.55043268,0.00337583,0.00269151,0.00462824,0.64016068,0.61963159,0.70149976,0.01150766,0.00186467,-0.00531682,-0.08332852,0.02252330,0.02221856,0.00422359,0.00328374,0.00561780,0.13495088,0.13531727,0.14665139,-0.00257687,0.00752315,-0.01001390,0.05943606,-0.01444591,0.46667129,0.00365281,0.00314373,0.00570184,0.61336863,0.58139706,0.64066458; -6
2020-11-09 21:22:48.469778; -0.00231149,0.00665721,-0.00437820,0.23311499,0.13095213,0.01676941,0.00397307,0.00343144,0.00616336,0.23995793,0.24197817,0.22746849,0.01001067,0.00222421,-0.00166728,-0.00062284,0.08816648,0.33218205,0.00670552,0.00389278,0.00577658,1.10054803,1.18182635,1.46377826,0.00442030,0.00116183,-0.00180233,-0.05302028,-0.04999473,0.00652511,0.00599062,0.00349993,0.00523299,0.25628918,0.22104728,0.22126973,0.02672013,0.00299030,-0.00600383,0.14840683,0.00733540,-0.00400654,0.01120698,0.00391370,0.00594717,0.12791991,0.14223880,0.16155982,-0.00099646,-0.00938575,-0.00528146,-0.05271414,-0.04524527,0.03383339,0.00366461,0.00295311,0.00504452,0.27377880,0.23489624,0.25132531; -33
2020-11-09 21:22:48.971129; -0.00240603,-0.00947766,-0.00115496,-0.08296803,0.02155964,0.02166221,0.00391191,0.00322688,0.00552285,0.13830507,0.13818169,0.15043259,0.00905501,0.00362710,-0.00462326,-0.08963119,0.02382113,0.03188447,0.00507510,0.00294024,0.00444531,0.12665749,0.12575912,0.13861495,-0.00373508,-0.00930585,-0.00171129,-0.08653716,0.02108046,0.02404184,0.00398844,0.00328338,0.00560689,0.14019209,0.13942999,0.15232837,-0.00241043,-0.01032655,-0.00853926,0.06707525,-0.01281295,0.68371034,0.00280917,0.00226772,0.00396484,0.58708316,0.55659950,0.62599719,-0.00176472,0.00697478,-0.00656784,-0.32557186,-0.17100376,0.11462697,0.00344360,0.00299013,0.00543863,0.30450439,0.34876388,0.26115310; -5
